route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
921,15,"921","","OLEŚNICZKA - Wrocławska - Wilczycka - Wrocławska - Szewczenki - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - PL. GRUNWALDZKI",3,39,"2022-02-12","2999-01-01"
923,11,"923","","BRZEZINA (PĘTLA) - Kopernika - Główna - Kolejowa - Wrocławska - Główna - Wilkszyńska - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA|LEŚNICA - Jeleniogórska - Główna - Wilkszyńska - Główna - Wrocławska - Kolejowa - Główna - Kopernika - BRZEZINA (PĘTLA)",3,39,"2022-01-15","2999-01-01"
924,15,"924","","KAMIEŃ - DIAMENTOWA - Diamentowa - Bursztynowa - Wiejska - Broniewskiego - Wrocławska - Bierutowska - Krzywoustego - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA",3,39,"2022-02-12","2999-01-01"
927L,14,"927L","","PIETRZYKOWICE - SPORTOWA/PĘTLA - Sportowa - Wrocławska - Parkowa - Wiejska - Solskiego - Grabiszyńska - OPORÓW|NOWY DWÓR (PĘTLA) - Zemska - Gubińska - Strzegomska - Mińska - Jurija Gagarina - Chłopska - Główna - Sportowa - PIETRZYKOWICE - SPORTOWA/PĘTLA",3,39,"2022-02-05","2999-01-01"
927P,14,"927P","","PIETRZYKOWICE - SPORTOWA/PĘTLA - Główna - Chłopska - Jurija Gagarina - Mińska - Rogowska - Zemska - NOWY DWÓR (PĘTLA)|OPORÓW - Grabiszyńska - Solskiego - Mokronoska - Parkowa - Wrocławska - Sportowa - PIETRZYKOWICE - SPORTOWA/PĘTLA",3,39,"2022-02-05","2999-01-01"
930,5,"930","","KRZYŻANOWICE - Główna - Kamieńskiego - Żmigrodzka - Kasprowicza - Boya-Żeleńskiego - KROMERA|KROMERA - Kasprowicza - Żmigrodzka - Kamieńskiego - Główna - KRZYŻANOWICE",3,39,"2021-12-11","2999-01-01"
931,15,"931","","KIEŁCZÓWEK - PĘTLA - Topolowa - Rzeczna - Wilczycka - Wrocławska - Kiełczowska - Krzywoustego - ks. Mariana Stanety - MULICKA|MULICKA - Kiełczowska - Wrocławska - Wilczycka - Rzeczna - Topolowa - KIEŁCZÓWEK - PĘTLA",3,39,"2022-02-12","2999-01-01"
933,14,"933","","ZABRODZIE - PĘTLA - Zabrodzka - Czekoladowa - Karmelkowa - Solskiego - Grabiszyńska - OPORÓW|OPORÓW - Solskiego - Karmelkowa - Czekoladowa - Zabrodzka - ZABRODZIE - PĘTLA",3,39,"2021-12-04","2999-01-01"
934,15,"934","","PRUSZOWICE - Parkowa - Stawowa - Okulickiego - Bora-Komorowskiego - Krzywoustego - ks. Mariana Stanety - MULICKA",3,39,"2022-02-12","2999-01-01"
938,11,"938","","LUTYNIA CENTRUM - Kościelna - Innowacyjna - Średzka - Mokrzańska - Krępicka - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Krępicka - Mokrzańska - Średzka - Innowacyjna - Kościelna - LUTYNIA CENTRUM",3,39,"2022-01-15","2999-01-01"
947,14,"947","","SMOLEC - LIPOWA/PĘTLA - Lipowa - Chłopska - Dębowa - Główna - Wiśniowa - Chłopska - Wrocławska - Stawowa - Parkowa - Wiejska - Solskiego - Grabiszyńska - OPORÓW|OPORÓW - Solskiego - Mokronoska - Parkowa - Stawowa - Wrocławska - Chłopska - Wiśniowa - Główna - Dębowa - Główna - Lipowa - SMOLEC - LIPOWA/PĘTLA",3,39,"2021-10-30","2999-01-01"
